collector,specimen_ID,genus,species,order,sex,mass (g),day,date_ISO,time,timezone,country,departament,municipio,locality,longitude,latitude,elevation,ectoparasite_sample,ectoparsite_ sampling_method,ecotparasite_box_location_ cold_storage,ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,1195,Ramphocelus,carbo,Passeriformes,U,23,Tue,2013-12-3,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,E7",3.0,0.0,0,0,0
GAL,1197,Picumnus,squamulatus,Piciformes,U,12,Tue,2013-12-3,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,C2",2.0,0.0,0,0,0
GAL,1198,Momotus,momota,Coraciiformes,U,120.25,Tue,2013-12-3,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,D2",24.0,0.0,0,0,0
GAL,1199,Ramphocelus,carbo,Passeriformes,U,24.5,Tue,2013-12-3,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,D10",6.0,0.0,0,0,0
GAL,1202,Thraupis,palmarum,Passeriformes,U,35,Tue,2013-12-3,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,F1",30.0,0.0,0,0,0
GAL,1205,Eupsittula,pertinax,Psittaciformes,U,36,Wed,2013-12-4,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,E10",4.0,0.0,0,0,0
GAL,1210,Euphonia,chlorotica,Passeriformes,U,10.25,Wed,2013-12-4,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,E9",4.0,0.0,0,0,0
GAL,1213,Turdus,nudigenis,Passeriformes,U,62,Thu,2013-12-5,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,C3",50.0,0.0,0,0,0
GAL,1217,Chloroceryle,aenea,Coraciiformes,U,14,Thu,2013-12-5,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,C7",6.0,0.0,0,0,0
GAL,1218,Gymnomystax,mexicanus,Passeriformes,U,132,Fri,2013-12-6,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,E3",28.0,0.0,0,0,0
GAL,1219,Emberizoides,herbicola,Passeriformes,U,27.25,Thu,2013-12-5,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"E1,I9",0.0,0.0,1,0,0
GAL,1225,Hemitriccus,striaticollis,Passeriformes,U,9,Wed,2013-12-4,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"E1,J2;P2,F2",8.0,0.0,0,0,0
GAL,1227,Elaenia,chiriquensis,Passeriformes,U,13.5,Fri,2013-12-6,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,D6",10.0,0.0,0,0,0
GAL,1228,Coereba,flaveola,Passeriformes,U,12.5,Fri,2013-12-6,00:00:00,PST,Colombia,Meta,PuertoGaitan,Puerto Gaitan,NA,NA,213,YES,powder,Universidad Icesi,"P2,E1",1.0,0.0,0,0,0
GAL,A2513,Setophaga,fusca,Passeriformes,F,18.09,Sun,2015-4-5,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09208333,5.240222222,1500,YES,powder,Universidad Icesi,"E3,38",1.0,0.0,0,0,0
GAL,A2515,Mionectes,olivaceus,Passeriformes,F,29.08,Sun,2015-4-5,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09208333,5.240222222,1500,YES,powder,Universidad Icesi,"E3,37",0.0,0.0,1,0,0
GAL,A2516,Myiotriccus,ornatus,Passeriformes,U,19.37,Sun,2015-4-5,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09208333,5.240222222,1500,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2517,Machaeropterus,deliciosus,Passeriformes,F,23.96,Mon,2015-4-6,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09208333,5.240222222,1500,YES,powder,Universidad Icesi,"E3,40; E3,41",1.0,0.0,1,0,0
GAL,A2518,Masius,chrysopterus,Passeriformes,M,18.91,Tue,2015-4-7,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09208333,5.240222222,1500,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2519,Machaeropterus,deliciosus,Passeriformes,F,24.32,Tue,2015-4-7,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09208333,5.240222222,1500,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2521,Phylloscartes,ophthalmicus,Passeriformes,U,27.24,Thu,2015-4-9,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,"E3,46",1.0,0.0,0,0,0
GAL,A2522,Mionectes,striaticollis,Passeriformes,F,27.11,Thu,2015-4-9,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2523,Sporophila,funerea,Passeriformes,U,22.84,Thu,2015-4-9,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2524,Myiotriccus,ornatus,Passeriformes,U,18.74,Thu,2015-4-9,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2525,Lophotriccus,pileatus,Passeriformes,M,18.09,Thu,2015-4-9,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,"E3,48",2.0,0.0,0,0,0
